Squadra;Allenatore;Modulo;Portiere;Difensori centrali;Terzini;Centrocampista difensivo;Esterni di centrocampo;Centrocampista centrale;Trequartista;Ali d'attacco;Seconda punta;Punta centrale
Atalanta;Sarri;4-3-3;-0.15;-0.05;-0.22;-0.18;0;0.04;0;0.07;0;-0.11
Bologna;Tedesco;4-3-3;0;0;0;0;0;0;0;0;0;0
Cagliari;Pisacane;4-3-3;0;0;0;0;0;0;0;0;0;0
Como;Fàbregas;4-2-3-1;0.01;0.04;0.01;0.04;0.1;0.05;0.61;-0.01;0;-0.21
Fiorentina;Grosso;4-3-3;-0.03;0.02;-0.06;-0.04;0;0.23;0;0.14;0;-0.34
Frosinone;Alvini;4-2-3-1;0;0;0;0;0;0;0;0;0;0
Genoa;De Rossi;3-4-2-1;0.05;0.19;0.02;-0.05;-0.13;0.14;-0.27;-0.54;0.41;-0.14
Inter;Chivu;3-5-2;-0.27;0.18;0;0.68;0.26;-0.01;0;0;0;0.08
Juventus;Spalletti;4-2-3-1;0.06;0.03;0.04;-0.03;-0.06;-0.02;0.01;0.02;0.39;-0.1
Lazio;Gattuso;4-3-3;0;0;0;0;0;0;0;0;0;0
Lecce;Di Francesco;4-2-3-1;0.16;0.05;0.12;0.05;-0.08;0.01;-0.18;-0.1;-0.01;-0.19
Milan;Amorim;3-4-2-1;0;0;0;0;0;0;0;0;0;0
Monza;Juric;3-4-2-1;0.04;0;-0.11;0.04;0.14;-0.07;-0.12;-0.56;0.01;-0.19
Napoli;Allegri;3-5-2;0.16;0.05;-0.04;-0.03;-0.13;-0.07;-1.26;-0.09;-0.11;-0.38
Parma;Cuesta;4-3-2-1;0.17;0.08;0;0.1;-0.15;0.03;0;-0.54;-0.2;-0.1
Roma;Gasperini;3-4-2-1;0.08;0.13;-0.21;0.33;0.08;0.06;0.23;-0.71;0.5;0.42
Sassuolo;Aquilani;4-3-3;0;0;0;0;0;0;0;0;0;0
Torino;Abate;4-3-3;0;0;0;0;0;0;0;0;0;0
Udinese;Runjaic;3-5-2;-0.16;0.11;0;0.02;-0.15;0.05;-0.84;0;0.12;-0.16
Venezia;Stroppa;3-5-2;-0.68;-0.26;0;-0.26;-0.12;-0.03;0;0;0.68;0.09
