Squadra;Rigorista 1;Rigorista 2;Rigorista 3;Rigorista 4;Piazzati 1;Piazzati 2;Piazzati 3
Atalanta;Scamacca;Krstovic;Samardzic;;De Ketelaere;Samardzic;Gaetano
Bologna;Orsolini;Bernardeschi;Dovbyk;;Orsolini;Bernardeschi;Miranda J.
Cagliari;Kevin Carlos;Maldini;Mina;;Fazzini;Maldini;Romano
Como;Da Cunha;Douvikas;Paz N.;;Paz N.;Baturina;Milla
Fiorentina;Gudmundsson A.;Mandragora;;;Gudmundsson A.;Mastantuono;Atta
Frosinone;Calò;Schmid;Grillitsch;;Calò;Schmid;Ghedjemis
Genoa;Colombo;Ostigard;Vitinha O.;;Baldanzi;Martin;Vitinha O.
Inter;Calhanoglu;Zielinski;Martinez L.;;Calhanoglu;Dimarco;Zielinski
Juventus;Kolo Muani;Yildiz;Locatelli;;Yildiz;Locatelli;Cambiaso
Lazio;Zaccagni;Taylor K.;Cataldi;;Rovella;Zaccagni;Cataldi
Lecce;Geubbels;Stulic;Berisha M.;;Pierotti;Berisha M.;Gandelman
Milan;Ramos G.;Pulisic;Modric;;Modric;Pulisic;Saelemaekers
Monza;Pessina;Cutrone;Petagna;;Pessina;Colpani;Mota
Napoli;De Bruyne;Hojlund;Politano;;De Bruyne;Politano;Neres
Parma;Pellegrino M.;Tourè E.;Valeri;Bernabè;Bernabè;Nicolussi Caviglia;Valeri
Roma;Malen;Dybala;Castro S.;;Dybala;Malen;Pellegrini Lo.
Sassuolo;Berardi;Pinamonti;Laurientè;;Berardi;Laurientè;Adzic
Torino;Vlasic;Kulenovic;Simeone;;Vlasic;Oristanio;Gineitis
Udinese;Davis K.;Solet;Zaniolo;;Zaniolo;Ekkelenkamp;Unai Gomez
Venezia;Busio;Adams A.;Adorante;;Busio;Yeboah J.;Perez K.
