id_giocatore;Squadra;Ruolo;Giocatore;Titolarita;MV;FMV;PMA;Presenze;Pt_Tit;Minuti;Pt_Inf;Gol;Assist;Ammonizioni;Espulsioni;Rig_Segnati;Rig_Sbagliati;Gol_Subiti;Rig_Parati;Valorizzato;Penalizzato;Nome_Nascosto
0001;Atalanta;P;Carnesecchi;95,0%;6,36;5,58;6,6%;37;37;3330;0;0;0;0;0;0;0;35;2;;;
0002;Atalanta;P;Sportiello;1,0%;5,50;4,50;0,2%;1;1;90;0;0;0;0;0;0;0;1;0;;;
0003;Atalanta;P;Vismara;1,0%;0,00;0,00;0,2%;0;;;0;0;0;0;0;0;0;0;0;;;
0004;Atalanta;D;Bernasconi;95,0%;6,09;6,16;1,0%;22;17;1570;0;0;3;3;0;0;0;0;0;;;
0005;Atalanta;D;Scalvini;95,0%;6,06;6,44;1,2%;24;23;1819;2;3;1;2;0;0;0;0;0;Sì;;
0006;Atalanta;D;Kristensen T.;75,0%;5,98;6,23;0,6%;28;28;2475;1;3;0;4;0;0;0;0;0;;;
0007;Atalanta;D;Zappacosta;75,0%;6,06;6,30;1,0%;35;30;2580;0;3;1;3;0;0;0;0;0;;;
0008;Atalanta;D;Ahanor;50,0%;5,79;5,69;0,2%;21;15;1375;0;0;0;2;1;0;0;0;0;;;
0009;Atalanta;D;Bellanova;50,0%;5,82;5,82;0,4%;22;15;1375;0;0;1;2;0;0;0;0;0;;;
0010;Atalanta;D;Hien;50,0%;5,91;5,86;0,2%;28;20;1964;1;1;0;5;0;0;0;0;0;;;
0011;Atalanta;D;Kolasinac;50,0%;6,03;5,94;0,2%;17;15;1219;2;0;0;3;0;0;0;0;0;;;
0012;Atalanta;D;Kossounou;25,0%;5,94;6,10;0,2%;16;10;984;1;1;0;1;0;0;0;0;0;;Sì;
0013;Atalanta;C;Ederson D.s.;95,0%;6,25;6,43;2,7%;30;26;2236;0;2;1;3;0;1;0;0;0;;;
0014;Atalanta;C;De Roon;50,0%;5,97;6,00;0,2%;34;32;2703;1;1;2;6;1;0;0;0;0;;Sì;
0015;Atalanta;C;Gaetano;50,0%;6,06;6,31;0,4%;32;21;1911;0;2;4;4;0;0;0;0;0;;;
0016;Atalanta;C;Pasalic;50,0%;5,94;6,28;0,2%;31;21;1932;0;3;3;3;0;0;0;0;0;;;
0017;Atalanta;C;Samardzic;50,0%;5,93;6,29;3,8%;21;11;1022;0;2;2;1;0;0;0;0;0;;;Sì
0018;Atalanta;C;Zalewski;50,0%;6,10;6,41;0,2%;31;24;1905;1;2;5;3;0;0;0;0;0;;;
0019;Atalanta;C;Sulemana I.;25,0%;5,69;5,77;0,2%;18;7;895;0;1;0;3;0;0;0;0;0;;;
0020;Atalanta;A;De Ketelaere;95,0%;6,21;6,60;6,6%;31;26;2189;0;3;5;4;0;0;0;0;0;;;
0021;Atalanta;A;Raspadori;75,0%;6,12;6,89;3,8%;13;7;792;0;3;1;0;0;0;0;0;0;Sì;;
0022;Atalanta;A;Krstovic;50,0%;6,16;7,19;6,4%;32;18;1787;1;10;5;4;0;0;0;0;0;;;
0023;Atalanta;A;Scamacca;50,0%;6,18;7,54;11,0%;22;16;1318;0;10;1;2;0;2;0;0;0;;;
0024;Atalanta;A;Sulemana K.;1,0%;6,00;6,24;0,2%;21;9;1001;0;2;1;4;0;0;0;0;0;;;
0025;Bologna;P;Skorupski;75,0%;6,19;5,27;1,4%;18;19;1594;1;0;0;1;1;0;0;15;0;;;
0026;Bologna;P;Pessina Mas.;25,0%;6,13;5,63;0,2%;4;3;352;0;0;0;0;0;0;0;2;0;;;
0027;Bologna;P;Happonen;1,0%;0,00;0,00;0,2%;0;;;0;0;0;0;0;0;0;0;0;;;
0028;Bologna;D;Miranda J.;95,0%;6,00;6,10;1,1%;31;29;2574;1;1;3;6;0;0;0;0;0;;;
0029;Bologna;D;Heggem;50,0%;5,84;5,80;0,2%;25;23;2112;0;0;0;0;1;0;0;0;0;;;
0030;Bologna;D;Vitik;50,0%;5,94;5,86;0,2%;18;14;1323;1;0;0;3;0;0;0;0;0;;;
