Squadra;Atalanta;Bologna;Cagliari;Como;Fiorentina;Frosinone;Genoa;Inter;Juventus;Lazio;Lecce;Milan;Monza;Napoli;Parma;Roma;Sassuolo;Torino;Udinese;Venezia
Atalanta;;87;83;83;83;79;82;83;84;87;84;80;88;86;89;86;91;86;88;80
Bologna;87;;83;88;82;86;80;92;88;76;86;87;80;84;84;91;82;79;84;89
Cagliari;83;83;;86;87;80;82;92;91;88;83;89;82;84;76;87;78;78;80;76
Como;83;88;86;;89;82;80;84;83;86;82;84;86;87;86;84;89;89;92;82
Fiorentina;83;82;87;89;;84;82;83;88;80;83;91;86;87;86;84;80;82;86;87
Frosinone;79;86;80;82;84;;87;88;88;88;75;88;80;87;78;84;86;88;78;79
Genoa;82;80;82;80;82;87;;84;83;82;88;86;80;87;87;87;80;76;87;86
Inter;83;92;92;84;83;88;84;;76;86;86;78;89;82;87;83;87;88;87;87
Juventus;84;88;91;83;88;88;83;76;;88;84;78;88;82;88;86;86;91;83;87
Lazio;87;76;88;86;80;88;82;86;88;;91;86;86;84;84;86;84;79;82;87
Lecce;84;86;83;82;83;75;88;86;84;91;;89;80;92;76;78;83;84;79;82
Milan;80;87;89;84;91;88;86;78;78;86;89;;84;80;89;86;89;87;87;83
Monza;88;80;82;86;86;80;80;89;88;86;80;84;;87;82;89;78;79;82;79
Napoli;86;84;84;87;87;87;87;82;82;84;92;80;87;;84;87;84;89;84;84
Parma;89;84;76;86;86;78;87;87;88;84;76;89;82;84;;82;82;84;80;80
Roma;86;91;87;84;84;84;87;83;86;86;78;86;89;87;82;;86;84;84;89
Sassuolo;91;82;78;89;80;86;80;87;86;84;83;89;78;84;82;86;;79;76;86
Torino;86;79;78;89;82;88;76;88;91;79;84;87;79;89;84;84;79;;83;79
Udinese;88;84;80;92;86;78;87;87;83;82;79;87;82;84;80;84;76;83;;83
Venezia;80;89;76;82;87;79;86;87;87;87;82;83;79;84;80;89;86;79;83;
