Squadra;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38
Atalanta;2;1;0;2;0;2;0;2;1;2;2;0;2;1;1;0;2;0;2;0;1;1;1;1;2;0;2;2;0;2;2;2;2;0;2;0;2;0
Bologna;1;1;2;0;2;2;0;2;0;2;2;2;2;0;0;1;0;2;1;1;1;2;0;0;0;2;2;0;2;0;2;2;0;1;2;2;1;2
Cagliari;2;0;2;1;2;0;2;1;0;1;2;0;0;1;2;2;1;0;2;0;0;2;0;1;2;2;0;1;2;0;1;1;2;2;1;2;2;0
Como;2;0;1;2;2;0;1;2;2;2;0;2;0;2;1;0;2;1;1;2;0;2;2;1;2;0;2;2;0;1;2;2;1;0;2;1;0;1
Fiorentina;0;2;2;2;0;1;0;0;1;2;0;2;2;2;2;1;1;0;2;0;2;1;2;2;0;2;2;2;1;0;0;2;0;1;0;2;2;1
Frosinone;0;1;2;1;0;0;2;1;2;2;2;0;2;0;2;1;0;1;2;2;0;2;2;1;2;0;1;2;0;2;1;0;0;2;1;1;2;0
Genoa;0;1;0;2;2;1;0;2;0;2;0;2;0;2;1;2;2;2;1;0;2;2;2;1;0;1;2;0;1;0;2;2;2;2;2;0;1;0
Inter;2;2;0;2;0;2;1;1;2;0;0;1;2;2;2;2;2;1;0;2;2;0;2;0;1;1;2;2;2;2;0;2;1;0;2;0;1;2
Juventus;2;2;0;2;1;2;1;2;2;0;1;2;0;2;2;0;1;2;0;2;2;0;2;0;1;2;0;1;0;2;2;2;1;1;2;0;2;2
Lazio;1;2;2;0;2;2;0;2;2;2;0;2;2;1;0;2;1;0;0;1;2;2;1;2;0;2;2;0;2;2;2;0;0;0;2;2;0;1
Lecce;2;0;2;2;0;1;2;0;2;2;2;1;1;0;2;0;0;2;1;2;2;2;0;2;2;1;0;2;0;1;0;2;0;2;0;1;1;2
Milan;2;2;0;1;2;2;1;2;1;0;2;2;2;2;0;0;2;1;0;2;2;0;1;0;2;0;2;2;1;2;1;0;2;1;2;0;2;2
Monza;0;2;2;2;2;1;2;2;0;1;1;1;0;0;0;2;0;2;2;2;1;0;0;2;1;0;2;2;1;0;2;0;2;2;0;2;1;2
Napoli;2;0;0;1;1;2;2;0;2;0;1;2;2;2;0;1;2;2;2;1;0;0;2;0;1;2;2;1;2;2;2;0;2;0;2;2;2;1
Parma;2;0;2;0;2;0;2;1;2;1;1;0;2;0;1;2;0;2;2;0;2;2;2;0;2;2;0;2;1;2;0;1;1;2;0;2;0;1
Roma;1;2;1;2;0;0;2;0;2;2;2;2;2;1;1;0;2;2;0;1;2;2;2;2;2;2;0;2;2;1;0;1;2;0;1;0;0;2
Sassuolo;1;2;0;0;2;0;2;0;1;1;0;2;0;2;2;2;0;2;2;2;1;0;0;2;0;2;1;0;2;1;0;2;2;2;1;2;2;0
Torino;0;2;1;0;1;2;2;2;0;2;2;0;1;2;0;2;2;0;1;0;2;2;0;2;0;1;1;0;2;0;1;2;2;2;1;2;0;2
Udinese;0;2;1;0;2;2;2;0;2;0;2;1;1;0;2;2;1;2;0;2;0;1;1;2;2;2;0;0;2;2;2;1;0;2;0;1;2;0
Venezia;2;0;2;1;1;1;0;2;0;0;2;0;1;2;2;2;2;0;2;2;0;1;2;2;2;0;1;1;0;2;1;0;2;2;0;2;0;2
